TITULO_ORIGINAL;GENEROS;ANO_LANCAMENTO;CLASSIFICACAO
CAFÉ SOCIETY;Comédia, Drama, Romance;2016;12
STAR TREK BEYOND;Ação, Aventura, Ficção científica;2016;12
ANNABELLE: CREATION;Terror;2017;14
ATOMIC BLONDE;Ação, Thriller;2017;16
BINGO - O REI DAS MANHÃS;Comédia, Drama;2017;16
DARK TOWER;Fantasia, Ação, Ficção científica;2017;12
HAPPY FAMILY;Comédia;2010;Sem Classificacao
MALASARTES E O DUELO COM A MORTE;Comédia, Fantasia;2017;Sem Classificacao
SNOW QUEEN 3;Família, Animação, Fantasia, Comédia;2016;L
THE EMOJI MOVIE;Animação, Família, Comédia;2017;L
THE HITMAN´S BODYGUARD;Ação, Comédia, Crime, Thriller;2017;14
VALERIAN AND THE CITY OF A THOUSAND PLANETS;Aventura, Ficção científica, Ação;2017;12
WAR FOR THE PLANET OF THE APES;Drama, Ficção científica, Guerra;2017;14
JOÃO, O MAESTRO;Drama;2017;14
THE BEGUILED;Drama;2017;14
COMO NOSSOS PAIS;Drama;2017;Sem Classificacao
ADRIFT;Thriller, Romance, Aventura;2018;12
CHRISTOPHER ROBIN;Aventura, Comédia, Família, Fantasia;2018;L
GOD'S NOT DEAD: A LIGHT IN DARKNESS;Drama;2018;12
MAMMA MIA! HERE WE GO AGAIN;Comédia, Romance;2018;10
O CANDIDATO HONESTO 2;Comédia;2018;14
SLENDER MAN;Terror, Mistério, Thriller;2018;12
TEEN TITANS GO! TO THE MOVIES;Animação, Ação, Comédia, Ficção científica;2018;Sem Classificacao
THE DARKEST MINDS;Ação, Aventura, Drama;2018;12
THE EQUALIZER 2;Ação, Thriller, Crime;2018;16
THE MEG;Ação, Ficção científica, Terror;2018;14
THE SPY WHO DUMPED ME;Comédia, Ação, Aventura;2018;16
LOVING PABLO;Crime, Drama;2017;16
ANNA;Ação, Aventura, Thriller;2019;16
BACURAU;Mistério, Faroeste, Thriller;2019;16
CHILD´S PLAY;Terror;1988;16
FAST & FURIOUS PRESENTS: HOBBS & SHAW;Ação, Crime, Thriller;2023;14
IT;Terror, Thriller, Drama;2017;16
NADA A PERDER 2;Drama;2019;Sem Classificacao
ONCE UPON A TIME IN HOLLYWOOD;Comédia, Drama, Thriller;2019;16
SCARY STORIES TO TELL IN THE DARK;Terror, Mistério;2019;14
YESTERDAY;Comédia, Fantasia, Música, Romance;2019;12
SIMONAL;Drama;2019;Sem Classificacao
CANDYMAN;Drama, Terror, Thriller;1992;16
DON´T BREATHE 2;Thriller, Terror;2021;16
FREE GUY;Comédia, Aventura, Ficção científica;2021;12
PETER RABBIT 2: THE RUNAWAY;Comédia, Família, Aventura;2021;L
THE BOSS BABY: FAMILY BUSINESS;Animação, Comédia, Aventura, Família;2021;L
THE SUICIDE SQUAD;Ação, Comédia, Aventura;2021;16
WRATH OF MAN;Thriller, Crime, Drama;2021;16
BEAST;Ação, Drama;2026;Sem Classificacao
BULLET TRAIN;Ação, Comédia, Thriller;2022;16
DRAGON BALL SUPER: SUPER HERO;Animação, Ficção científica, Ação;2022;12
NOPE;Terror, Ficção científica;2022;14
O PALESTRANTE;Comédia, Drama;2022;14
PAWS OF FURY: THE LEGEND OF HANK;Animação, Aventura, Comédia, Família;2022;L
WHERE THE CRAWDADS SING;Drama, Mistério, Romance;2022;14
AFTER EVER HAPPY;Romance, Drama;2022;14
GRAN TURISMO;Aventura, Drama, Ação;2023;12
TALK TO ME;Terror;2023;16
TEENAGE MUTANT NINJA TURTLES: MUTANT MAYHEM;Animação, Comédia, Ação, Ficção científica;2023;10
THE LAST VOYAGE OF THE DEMETER;Terror, Fantasia;2023;16
THE MEG 2;Ação, Ficção científica, Terror;2023;14
GOLDA;Drama, História, Guerra;2023;Sem Classificacao
ALIEN: ROMULUS;Terror, Ficção científica;2024;16
CORALINE 15TH ANNIVERSARY;Nao Encontrado;Nao Encontrado;Nao Encontrado
HAROLD AND THE PURPLE CRAYON;Família, Comédia, Aventura, Fantasia;2024;L
HARRY POTTER AND THE CHAMBER OF SECRETS;Aventura, Fantasia;2002;L
HARRY POTTER AND THE PHILOSOPHER'S STONE;Aventura, Fantasia;2001;L
IT ENDS WITH US;Drama, Romance;2024;14
LONGLEGS;Crime, Terror, Mistério;2024;18
THE CROW;Fantasia, Ação, Thriller;1994;16
THE EXORCISM;Terror, Crime, Drama, Fantasia;2022;16
TRAP;Ação, Crime, Thriller;2025;16
BLINK TWICE;Mistério, Thriller;2024;16
WIDOW CLICQUOT;Drama;2024;14
BRING HER BACK;Terror;2025;18
FREAKIER FRIDAY;Comédia, Fantasia, Família;2025;10
THE BAD GUYS 2;Família, Comédia, Crime, Aventura, Animação;2025;L
THE NAKED GUN;Ação, Comédia, Crime;2025;14
THE ROSES;Comédia, Drama, Romance;2025;16
TOGETHER;Terror, Romance;2025;16
WEAPONS;Terror, Mistério;2025;18
CAUGHT STEALING;Crime, Thriller, Comédia;2025;16
O ÚLTIMO AZUL;Drama, Aventura, Ficção científica;2025;14
BELLE ET LA BÊTE, LA;Fantasia, Romance;2014;12
DELIVER US FROM EVIL;Thriller, Crime, Terror;2014;16
DOLPHIN TALE 2;Família, Drama;2014;Sem Classificacao
HERCULES;Ação, Aventura;2014;14
IF I STAY;Drama;2014;12
SAINT SEYA - LEGENDS OF SANCTUARY;Nao Encontrado;Nao Encontrado;Nao Encontrado
THE EQUALIZER;Thriller, Ação, Crime;2014;16
THE GIVER;Drama, Ficção científica;2014;12
THE MAZE RUNNER;Ação, Mistério, Ficção científica, Thriller;2014;14
LEGENDS OF OZ: DOROTHY'S RETURN;Animação, Família, Fantasia;2014;L
RIO, EU TE AMO;Romance, Drama;2014;Sem Classificacao
BEGIN AGAIN;Comédia, Música, Romance, Drama;2014;12
A ESPERANÇA É A ÚLTIMA QUE MORRE;Comédia;2015;12
EVEREST;Aventura, Drama, História;2015;12
MAN FROM U.N.C.L.E;Comédia, Ação, Aventura;2015;14
MAZE RUNNER: SCORCH TRIALS;Ficção científica, Ação, Thriller, Aventura;2015;14
SHAUN THE SHEEP MOVIE;Família, Animação, Comédia, Aventura;2015;Sem Classificacao
SINISTER 2;Terror;2015;14
THE INTERN;Comédia;2015;10
THE TRANSPORTER REFUELED;Ação, Thriller, Crime;2015;14
VACATION;Comédia, Aventura;2015;14
VAI QUE COLA - O FILME;Comédia;2015;12
DO YOU BELIEVE?;Drama;2015;Sem Classificacao
RICKI AND THE FLASH;Comédia, Drama, Música;2015;14
A MAN IN THE DARK;Terror, Mistério, Drama;2019;Sem Classificacao
AQUARIUS;Drama;2016;16
BLAIR WITCH;Terror, Mistério;1999;14
BRIDGET JONE'S BABY;Nao Encontrado;Nao Encontrado;Nao Encontrado
DESCULPE O TRANSTORNO;Comédia;2016;12
MASTERMINDS;Ação, Comédia, Crime;2016;12
MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;Ação, Aventura, Fantasia, Mistério, Thriller;2016;12
PETE´S DRAGON;Aventura, Família, Fantasia;2016;L
STORKS;Aventura, Animação, Comédia, Família;2016;L
THE MAGNIFICENT SEVEN;Aventura, Ação, Faroeste;2016;14
TÔ RYCA!;Comédia;2016;12
UM NAMORADO PARA MINHA MULHER;Comédia;2016;Sem Classificacao
BLOOD FATHER;Ação, Thriller, Drama;2016;14
WAR DOGS;Comédia, Crime, Drama;2016;16
AMERICAN ASSASSIN;Ação, Aventura, Thriller;2017;16
AMERICAN MADE;Comédia, Crime, Drama;2017;16
AMITYVILLE: THE AWAKENING;Terror;2017;14
DIVÓRCIO;Comédia;2017;12
DUAS DE MIM;Comédia;2017;12
KINGSMAN: THE GOLDEN CIRCLE;Ação, Aventura, Comédia, Crime, Ficção científica;2017;16
LINO - UMA AVENTURA DE SETE VIDAS;Animação, Família, Aventura;2017;L
MOTHER!;Música, Drama, Thriller;2026;Sem Classificacao
POLÍCIA FEDERAL - A LEI É PARA TODOS;Ação, Thriller, Crime;2017;12
THE CASE FOR CHRIST;Drama;2017;12
THE LEGO NINJAGO MOVIE;Ação, Aventura, Animação, Comédia, Família;2017;L
A SIMPLE FAVOR;Thriller, Comédia, Mistério;2018;16
ALPHA;Terror, Drama, Ficção científica;2025;18
CRÔ EM FAMILIA;Comédia;2018;12
HOUSE WITH A CLOCK IN ITS WALLS;Comédia, Família, Fantasia, Terror, Mistério;2018;10
MILE 22;Ação, Thriller;2018;14
SEARCHING;Drama, Cinema TV;2017;Sem Classificacao
SMALLFOOT;Família, Comédia, Aventura, Animação, Fantasia;2018;L
THE FIRST PURGE;Ação, Terror, Thriller;2018;18
THE HEALER;Família, Drama, Comédia;2017;10
THE NUN;Terror;2018;14
THE PREDATOR;Ficção científica, Ação, Thriller;2018;18
O PACIENTE, O CASO TANCREDO NEVES;Drama, História;2018;10
ABOMINABLE;Família, Animação, Aventura, Comédia, Fantasia;2019;L
AD ASTRA;Ficção científica, Drama;2019;14
CRAWL;Terror, Thriller;2019;16
DIVALDO – O MENSAGEIRO DA PAZ;Drama;2019;Sem Classificacao
HEBE - A ESTRELA DO BRASIL;Drama, História;2019;L
IT: CHAPTER TWO;Terror, Thriller, Drama;2019;16
RAMBO: LAST BLOOD;Ação, Thriller, Drama;2019;18
THE QUEEN´S CORGI;Família, Animação, Comédia;2019;L
VAI QUE COLA 2 - O COMEÇO;Comédia;2019;10
FANTASY ISLAND;Aventura, Fantasia, Terror, Mistério;2020;16
AFTER WE FELL;Drama, Romance;2021;16
AINBO - THE SPIRIT OF THE AMAZON;Aventura, Animação, Família, Fantasia;2021;L
ESCAPE ROOM: TOURNAMENT OF CHAMPIONS;Terror, Thriller, Mistério;2021;14
MALIGNANT;Terror, Mistério;2021;16
PAW PATROL: THE MOVIE;Aventura, Animação, Comédia, Família, Ficção científica;2023;L
SHANG-CHI AND THE LEGEND OF THE TEN RINGS;Ação, Aventura, Fantasia;2021;12
THE NIGHT HOUSE;Terror, Mistério;2021;14
AVATAR;Ficção científica, Aventura, Fantasia;2025;14
DON'T WORRY DARLING;Ficção científica, Mistério, Thriller, Terror;2022;16
ORPHAN: FIRST KILL;Terror, Thriller;2022;16
PREDESTINADO: ARIGÓ E O ESPÍRITO DO DR. FRITZ;Drama;2022;14
SMILE;Terror, Mistério;2022;16
THE FALL;Ação, Comédia, Romance;2024;14
THE WOMAN KING;Ação, Drama, História, Guerra;2022;16
TICKET TO PARADISE;Drama, Comédia, Romance;2022;12
A HAUNTING IN VENICE;Mistério, Thriller, Crime;2023;14
SAW X;Terror, Mistério;2023;18
SOUND OF FREEDOM;Ação, Drama;2023;14
THE CREATOR;Ficção científica, Ação, Aventura;2023;14
THE EXPENDABLES 4;Ação, Aventura, Thriller;2023;18
THE NUN 2;Terror;2021;Sem Classificacao
NOSSO SONHO;Drama, Comédia, Música;2023;12
ELIS & TOM, SÓ TINHA DE SER COM VOCÊ;Drama;2016;14
BEETLEJUICE BEETLEJUICE;Comédia, Fantasia, Terror;2024;14
HELLBOY: THE CROOKED MAN;Fantasia, Terror, Ação;2024;16
JUNG KOOK: I AM STILL;Documentário, Música;2024;Sem Classificacao
SILVIO;Thriller, Crime;2024;14
SPEAK NO EVIL;Terror, Thriller;2024;18
THE FORGE;Drama, Família;2024;L
THE WILD ROBOT;Família, Animação, Ficção científica, Aventura;2024;L
TRANSFORMERS ONE;Animação, Ficção científica, Aventura, Família;2024;10
DRAGONKEEPER;Animação, Família, Ação, Aventura, Fantasia;2024;L
COUP DE CHANCE;Drama;2023;12
THE SUBSTANCE;Terror, Ficção científica, Thriller;2024;18
THE CONJURING: LAST RITES;Terror;2025;16
THE LONG WALK;Ficção científica, Thriller, Terror;2025;18
TOY STORY;Família, Comédia, Animação, Aventura;1995;L
A BIG BOLD BEAUTIFUL JOURNEY;Romance, Fantasia, Drama;2025;12
ANNABELLE;Terror;2014;14
DRACULA UNTOLD;Terror, Ação, Fantasia;2014;14
GONE GIRL;Mistério, Thriller, Drama;2014;14
O CANDIDATO HONESTO;Comédia;2014;12
THE BOOK OF LIFE;Animação, Família, Fantasia;2014;L
THE BOXTROLLS;Animação, Comédia, Família, Fantasia;2014;L
TIM MAIA;Drama, Música, História;2014;14
TOKAREV;Ação;1994;Sem Classificacao
TRASH;Aventura, Crime, Drama, Thriller, Mistério;2014;14
ALEXANDER AND THE TERRIBLE, HORRIBLE, NOT GOOD, VERY BAD DAY;Família, Comédia;2014;L
THE JUDGE;Drama;2014;12
LEFT BEHIND;Thriller, Ação, Ficção científica;2014;Sem Classificacao
NA QUEBRADA;Drama;2014;Sem Classificacao
THE PHYSICIAN;Aventura, Drama, História;2013;12
AND SO IT GOES;Comédia, Drama, Romance;2014;Sem Classificacao
THE BEST OF ME;Drama, Romance;2014;14
HARRY POTTER AND THE GOBLET OF FIRE;Aventura, Fantasia;2005;10
GOOSEBUMPS;Aventura, Terror, Comédia;2015;10
PAN;Fantasia, Aventura, Família, Ação;2015;10
PARANORMAL ACTIVITY: THE GHOST DIMENSION;Terror, Thriller;2015;14
POSSESSION OF MICHAEL KING;Terror;2014;Sem Classificacao
S.O.S. MULHERES AO MAR 2;Comédia, Romance;2015;14
THE MARTIAN;Ficção científica, Drama, Aventura;2015;12
CRIMSON PEAK;Terror, Mistério, Romance, Drama;2015;16
OPERAÇÕES ESPECIAIS (EX BOLETIM DE OCORRÊNCIA B.O);Nao Encontrado;Nao Encontrado;Nao Encontrado
GRACE OF MONACO;Romance, Drama;2014;12
THE 33;Drama, História;2015;12
THE WALK;Ficção científica, Thriller, Terror;2025;18
INFERNO;Terror;2024;Sem Classificacao
KUBO AND THE TWO STRINGS;Animação, Aventura, Família;2016;10
MECHANIC: RESSURRECTION;Nao Encontrado;Nao Encontrado;Nao Encontrado
O SHAOLIN DO SERTÃO;Comédia;2016;12
OUIJA: ORIGIN OF EVIL;Terror;2016;14
SAUSAGE PARTY;Aventura, Animação, Comédia, Fantasia;2016;16
THE ACCOUNTANT;Mistério, Crime, Thriller;2025;16
THE GIRL ON THE TRAIN;Crime, Mistério, Thriller;2016;14
TROLLS;Aventura, Animação, Comédia, Família, Fantasia, Música;2016;L
É FADA!;Comédia, Fantasia;2016;12
THE HALLOW;Terror, Fantasia;2015;Sem Classificacao
BLADE RUNNER 2049;Ficção científica, Drama;2017;14
CAPTAIN UNDERPANTS: THE FIRST EPIC MOVIE;Família, Comédia, Animação, Ficção científica, Ação;2017;L
CHOCANTE;Comédia;2017;12
COMO SE TORNAR O PIOR ALUNO DA ESCOLA;Comédia;2017;18
FLATLINERS;Drama, Ficção científica, Terror;1990;Sem Classificacao
GEOSTORM;Ação, Ficção científica, Thriller;2017;12
HAPPY DEATH DAY;Comédia, Terror, Mistério;2017;14
WOODY WOODPECKER;Comédia, Família, Animação;2017;L
CHURCHILL;Drama, História;2017;14
MARK FELT;Drama, História, Thriller;2017;10
CINDERELLA AND THE SECRET PRINCE;Animação, Aventura, Família, Fantasia;2018;L
FIRST MAN;História, Drama;2018;12
GOOSEBUMPS 2: HAUNTED HALLOWEEN;Comédia, Fantasia, Terror, Família;2018;L
HALLOWEEN;Terror, Thriller;1978;18
HUNTER KILLER;Ação, Thriller;2018;14
INCIDENT IN A GHOSTLAND;Documentário, Terror;2018;Sem Classificacao
PEPPERMINT;Ação, Thriller;2018;14
TUDO POR UM POP STAR;Comédia, Música;2018;L
VENOM;Ficção científica, Ação;2018;14
PAPILLON;Aventura, Crime, Drama;2017;16
ELA DISSE, ELE DISSE;Comédia, Romance;2019;12
GEMINI MAN;Ficção científica, Ação, Aventura, Thriller, Drama;2019;14
JOKER;Crime, Thriller, Drama;2019;16
TERMINATOR: DARK FATE;Ficção científica, Ação, Aventura, Thriller;2019;14
THE ANGRY BIRDS MOVIE 2;Animação, Aventura, Comédia, Família;2019;L
ZOMBIELAND: DOUBLE TAP;Terror, Comédia;2019;16
DOWNTOWN ABBEY;Drama, Romance, História;2019;12
LA ODISEA DE LOS GILES;Comédia, Thriller;2019;12
HALLOWEEN KILLS;Terror;2021;16
RON'S GONE WRONG;Animação, Ficção científica, Família, Comédia;2021;14
VENOM: LET THERE BE CARNAGE;Ficção científica, Ação, Aventura;2021;14
BLACK ADAM;Ação, Aventura, Ficção científica;2022;14
BODIES BODIES BODIES;Comédia, Mistério, Terror;2022;16
HALLOWEEN ENDS;Terror, Thriller;2022;18
LAST SEEN ALIVE;Ação, Thriller;2022;16
ONE PIECE FILM: RED;Animação, Aventura, Ação, Fantasia;2022;12
THE INVITATION (AKA BRIDE);Nao Encontrado;Nao Encontrado;Nao Encontrado
AMSTERDAM;Mistério, Comédia, Drama;2022;16
OS SUBURBANOS - O FILME;Comédia;2022;12
EQUALIZER 3;Ação, Thriller, Crime;2023;18
FIVE NIGHTS AT FREDDY'S;Terror, Thriller;2023;14
THE EXORCIST: BELIEVER;Terror;2023;16
MEU NOME É GAL;História, Drama, Música;2023;16
JOKER: FOLIE À DEUX;Drama, Crime, Thriller;2024;16
SMILE 2;Terror, Música, Mistério, Thriller;2024;18
TERRIFIER 3;Terror;2024;18
TUDO POR UM POP STAR 2;Comédia;2024;Sem Classificacao
VENOM: THE LAST DANCE;Ficção científica, Ação, Aventura;2024;14
WE LIVE IN TIME;Romance, Drama;2024;14
THE ROOM NEXT DOOR;Mistério, Thriller, Terror;1994;Sem Classificacao
CHAINSAW MAN – THE MOVIE: REZE ARC;Animação, Ação, Romance, Fantasia;2025;18
FRANKENSTEIN;Drama, Fantasia, Terror;2025;18
GABBY'S DOLLHOUSE: THE MOVIE;Aventura, Animação, Comédia, Família, Fantasia;2025;L
KPOP DEMON HUNTERS;Fantasia, Música, Comédia, Animação;2025;10
PERRENGUE FASHION;Comédia, Aventura;2025;14
REGRETTING YOU;Romance, Drama;2025;16
THE BLACK PHONE 2;Terror, Thriller;2025;18
THE SMASHING MACHINE;Drama, História, Ação;2025;16
TRON: ARES;Ficção científica, Aventura, Ação;2025;12
AFTER THE HUNT;Drama;2025;16
MADE IN CHINA;Comédia, Drama;2019;Sem Classificacao
BOA SORTE;Drama;2014;16
HORRIBLE BOSSES 2;Comédia;2014;Sem Classificacao
IRMÃ DULCE;Drama, História;2014;10
SCOUTS GUIDE TO THE ZOMBIE APOCALYPSE;Comédia, Terror;2015;16
SNOW QUEEN 2;;;Sem Classificacao
THE VISIT;Terror, Thriller;2015;14
BLACK MASS;Drama, Crime, História;2015;16
DEEPWATER HORIZON;Drama, Ação;2016;12
PEQUENO SEGREDO;Drama;2016;Sem Classificacao
SOB PRESSÃO;Drama;2016;Sem Classificacao
I.T.;Thriller, Crime;2016;14
DADDY'S HOME 2;Comédia;2017;12
GOSTO SE DISCUTE;Comédia;2017;12
NEVESTA;Comédia;1969;Sem Classificacao
THE MOUNTAIN BETWEEN US;Drama, Aventura, Romance;2017;12
WIND RIVER;Crime, Mistério, Drama, Thriller;2017;16
THE SNOWMAN;Crime, Thriller, Mistério, Terror;2017;Sem Classificacao
THE SON OF BIGFOOT;Família, Animação, Comédia;2017;L
VICTORIA AND ABDUL;Drama, História;2017;Sem Classificacao
AN INTERVIEW WITH GOD;Drama, Mistério;2018;L
HELL FEST;Terror, Thriller;2018;16
INSTANT FAMILY;Comédia, Drama;2018;12
JOHNNY ENGLISH STRIKES AGAIN;Ação, Aventura, Comédia;2018;L
O DOUTRINADOR - O FILME;Nao Encontrado;Nao Encontrado;Nao Encontrado
OS EXTERMINADORES DO ALÉM CONTRA A LOIRA DO BANHEIRO;Terror, Comédia;2018;16
OVERLORD;Terror, Guerra, Ficção científica;2018;16
QUEEN - BOHEMIAN RHAPSODY;Documentário;2019;Sem Classificacao
SEQUESTRO RELÂMPAGO;Crime, Drama, Thriller;2018;16
THE GIRL IN THE SPIDER´S WEB;Ação, Crime, Thriller;2018;16
THE POSSESSION OF HANNAH GRACE;Terror, Drama;2018;Sem Classificacao
CHARMING;Animação, Aventura, Comédia, Família, Fantasia, Música, Romance;2018;Sem Classificacao
WIDOWS;Drama, Crime, Thriller;2018;16
ANGEL HAS FALLEN;Ação, Thriller;2019;14
CARCEREIROS - O FILMES;Nao Encontrado;Nao Encontrado;Nao Encontrado
CHARLIE´S ANGELS;Ação, Comédia, Aventura;2000;12
DOCTOR SLEEP;Terror, Fantasia;2019;16
FORD V FERRARI;Drama, Ação, História;2019;12
LAST CHRISTMAS;Comédia, Drama, Romance;2019;12
MIDWAY;Ação, Guerra, História;2019;14
OS PARÇAS 2;Comédia;2019;12
HUSTLERS;Drama, Comédia, Crime;2019;16
CRAFT, THE;Terror, Drama, Fantasia;1996;12
TRAIN TO BUSAN PRESENTS: PENINSULA;Terror, Ação, Thriller, Aventura;2020;14
CLIFFORD THE BIG RED DOG;Família, Aventura, Comédia, Fantasia;2021;L
ETERNALS;Ficção científica, Ação, Aventura;2021;12
GHOSTBUSTERS: AFTERLIFE;Fantasia, Comédia, Aventura;2021;12
GOD'S NOT DEAD: WE THE PEOPLE;Drama;2021;12
MARIGHELLA;Drama, História, Ação;2021;16
PREY FOR THE DEVIL;Terror, Thriller;2022;14
STRANGE WORLD;Animação, Família, Aventura, Fantasia, Ficção científica;2022;L
NADA É POR ACASO;Drama;2022;14
ALL FUN AND GAMES;Terror, Thriller;2023;16
IT LIVES INSIDE;Terror, Mistério;2023;Sem Classificacao
MUSSUM, O FILMIS;Drama, História, Comédia;2023;12
TAYLOR SWIFT - THE ERAS TOUR;Música;2023;L
THE HUNGER GAMES – BALLAD OF SONGBIRDS AND SNAKES;Ficção científica, Ação;2023;14
THE MARVELS;Ficção científica, Aventura, Ação;2023;12
ARCA DE NOÉ;Animação, Música, Comédia, Fantasia, Família;2024;L
RED ONE;Animação, Aventura, Ação, Fantasia;2022;12
JUJUTSU KAISEN: EXECUTION;Animação, Ação, Fantasia;2025;18
PREDATOR: BADLANDS;Ação, Ficção científica, Aventura;2025;16
THE RUNNING MAN;Ação, Thriller, Ficção científica;2025;18
A WALK AMONG THE TOMBSTONES;Crime, Drama, Mistério, Thriller;2014;16
PADDINGTON;Comédia, Aventura, Família;2014;L
BEM CASADOS;Romance, Comédia;2015;12
THE GIFT;Terror, Drama, Thriller, Mistério;2000;Sem Classificacao
FALLEN;Crime, Drama, Thriller;1998;16
O ÚLTIMO VIRGEM;Comédia, Romance;2016;Sem Classificacao
ROBINSON CRUSOE;Aventura, Drama;1954;Sem Classificacao
MALICIOUS;Thriller, Terror;2018;Sem Classificacao
21 BRIDGES;Crime, Ação, Drama;2019;16
RESIDENT EVIL: WELCOME TO RACCOON CITY;Ação, Terror, Ficção científica;2021;16
THE ICE ROAD;Ação, Thriller;2021;14
THE MENU;Comédia, Terror;2022;16
O SEQUESTRO DO VOO 375;Thriller, Drama;2023;14
THANKSGIVING;Terror, Mistério;2023;18
