TITULO_ORIGINAL;GENEROS;ANO_LANCAMENTO;CLASSIFICACAO
VICE;Drama, Comédia;2018;14
A STAR IS BORN;Música, Drama, Romance;2018;16
BOHEMIAN RHAPSODY;Música, Drama;2018;14
FANTASTIC BEASTS: THE CRIMES OF GRINDELWALD;Fantasia, Aventura;2018;12
ROBIN HOOD;Thriller, Ação, Drama;2013;Sem Classificacao
THE FAVOURITE;História, Comédia, Drama;2018;14
THE GRINCH;Animação, Comédia, Família, Fantasia;2018;L
BLACKKKLANSMAN;Crime, Comédia, Drama, História;2018;14
THE NUTCRACKER AND THE FOUR REALMS;Família, Fantasia, Aventura;2018;L
1917;Guerra, História, Drama;2019;14
BAD BOYS FOR LIFE;Thriller, Ação, Crime;2020;16
FROZEN II;Família, Animação, Aventura, Comédia, Fantasia;2019;L
JUMANJI: NEXT LEVEL;Aventura, Comédia, Fantasia;2019;12
MINHA MÃE É UMA PEÇA 3;Comédia;2019;12
SPIES IN DISGUISE;Animação, Ação, Aventura, Comédia, Família;2019;L
STAR WARS: THE RISE OF SKYWALKER;Aventura, Ação, Ficção científica;2019;12
PARASITE;Terror, Ficção científica;1982;Sem Classificacao
BOMBSHELL;Drama;2019;14
CATS;Música, Fantasia;1998;Sem Classificacao
JOJO RABBIT;Comédia, Guerra, Drama;2019;14
JUDY;Drama, História, Música;2019;14
KNIVES OUT;Comédia, Crime, Mistério;2019;14
LITTLE WOMEN;Drama, Romance;2019;10
MALEFICENT: MISTRESS OF EVIL;Família, Fantasia, Aventura;2019;10
OVERCOMER;Drama;2019;10
PLAYING WITH FIRE;Família, Comédia;2019;L
RICHARD JEWELL;Drama, História;2019;16
THE ADDAMS FAMILY;Comédia, Fantasia;1991;12
A RAINY DAY IN NEW YORK;Comédia, Romance;2019;14
DORA AND THE LOST CITY OF GOLD;Família, Comédia, Aventura;2019;10
PLAYMOBIL;Família, Animação, Comédia, Aventura, Fantasia;2019;L
GREENLAND;Aventura, Thriller, Ficção científica;2026;14
HONEST THIEF;Thriller, Ação, Crime;2020;14
NEW MUTANTS;Ficção científica, Terror;2020;14
PINOCCHIO;Animação, Família, Fantasia;1940;L
THE EMPTY MAN;Terror, Mistério;2020;16
TROLLS WORLD TOUR;Família, Animação, Comédia, Fantasia, Aventura, Música;2020;L
UM TIO QUASE PERFEITO 2;Comédia, Família;2021;L
WONDER WOMAN 1984;Ação, Aventura, Fantasia;2020;12
THE WITCHES;Fantasia, Família, Terror;1990;10
Z;Ação, Terror, Ficção científica, Thriller;2013;14
32 MALASAÑA STREET;Drama, Terror;2020;14
QUEEN OF SPADES: THROUGH THE LOOKING GLASS;Terror, Thriller;2019;16
FREAKY;Terror, Comédia;2020;16
TENET;Ação, Thriller, Ficção científica;2020;14
SCOOB!;Animação, Comédia, Família, Mistério;2020;L
EDUARDO E MÔNICA;Romance, Drama;2022;14
JUNTOS E ENROLADOS;Comédia;2021;12
NIGHTMARE ALLEY;Crime, Drama, Thriller;2021;16
SCREAM;Terror, Mistério, Crime;2026;18
SING 2;Animação, Comédia, Família, Música;2021;L
SPIDER-MAN: NO WAY HOME;Ação, Aventura, Ficção científica;2021;12
THE KING'S MAN;Ação, Aventura, Thriller;2021;16
THE MATRIX RESURRECTIONS;Ficção científica, Ação, Aventura;2021;14
TURMA DA MÔNICA: LIÇÕES;Família, Comédia, Drama, Aventura;2021;L
SPENCER;Drama;2021;12
ENCANTO;Animação, Comédia, Família, Fantasia;2021;L
HOUSE OF GUCCI;Drama, Crime, História;2021;14
KING RICHARD;Drama, História;2021;10
DUNE;Ficção científica, Aventura;2021;14
NO TIME TO DIE;Ação, Thriller, Aventura;2021;14
A MAN CALLED OTTO;Comédia, Drama;2022;14
AVATAR: THE WAY OF WATER;Ação, Aventura, Ficção científica;2022;14
BLACK PANTHER: WAKANDA FOREVER;Ação, Aventura, Ficção científica;2022;12
I WANNA DANCE WITH SOMEBODY;Música, História, Drama;2022;16
M3GAN;Ficção científica, Terror;2022;14
PLANE;Ação, Aventura, Thriller;2023;14
PUSS IN BOOTS: THE LAST WISH;Animação, Aventura, Fantasia, Comédia, Família;2022;L
BABYLON;Drama, Comédia;2022;18
TERRIFIER 2;Terror;2022;18
THE FABELMANS;Drama;2022;14
LYLE, LYLE, CROCODILE;Comédia, Família, Música;2022;Sem Classificacao
TAD THE LOST EXPLORER AND THE EMERALD TABLET;Animação, Aventura, Família, Comédia, Fantasia;2022;L
MINIONS: THE RISE OF GRU;Comédia, Crime, Ficção científica, Animação, Família;2022;L
VIOLENT NIGHT;Ação, Comédia, Fantasia, Thriller;2022;16
TÁR;Música, Drama;2022;12
ANYONE BUT YOU;Romance, Comédia;2023;16
AQUAMAN AND THE LOST KINGDOM;Ação, Aventura, Fantasia;2023;12
BLUE BEETLE;Ação, Ficção científica, Aventura;2023;14
MAMONAS ASSASSINAS O FILME;Comédia, Música;2023;12
MEAN GIRLS;Drama, Comédia;2004;12
MIGRATION;Aventura, Thriller, Ficção científica;2026;14
MINHA IRMÃ E EU;Comédia;2023;14
NIGHT SWIM;Terror, Mistério;2024;14
NOSSO LAR 2 - OS MENSAGEIROS;Drama;2024;14
PRÍNCIPE LU E A LENDA DO DRAGÃO;Aventura, Fantasia;2024;L
THE BEEKEEPER;Ação, Crime, Thriller;2024;18
TURMA DA MÔNICA JOVEM - REFLEXOS DO MEDO;Aventura, Comédia, Fantasia;2024;Sem Classificacao
WISH;Animação, Família, Fantasia, Aventura;2023;L
WONKA;Comédia, Família, Fantasia;2023;10
ANATOMY OF A FALL;Thriller, Mistério, Crime;2023;14
GODZILLA MINUS ONE;Ficção científica, Terror, Ação;2023;12
MAY DECEMBER;Drama;2023;16
NAPOLEON;História, Guerra, Romance;2023;16
OPPENHEIMER;Drama, História;2023;16
PAST LIVES;Drama, Romance;2023;Sem Classificacao
PRISCILLA;Drama, Romance;2023;16
RENAISSANCE: A FILM BY BEYONCÉ;Música, Documentário;2023;12
THE HOLDOVERS;Drama, Comédia;2023;16
