MES_EXIBICAO,ANO_EXIBICAO,NOME_CINEMA,TITULO_ORIGINAL,PUBLICO,GENEROS,ANO_LANCAMENTO,CLASSIFICACAO,rotten_tomatoes,yt_views,yt_likes,yt_sentiment
1,2014,KINOPLEX ITAIM,CONFISSÕES DE ADOLESCENTE - O FILME,839,"Comédia, Família",2014,12,0.0,732404.0,4045.0,3.3
1,2014,KINOPLEX ITAIM,ENDER'S GAME,31,"Ficção científica, Ação, Aventura",2013,10,63.0,5716340.0,21622.0,3.3
1,2014,KINOPLEX ITAIM,FROZEN,2156,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX ITAIM,GRAVITY,485,"Ficção científica, Thriller, Drama",2013,12,96.0,22147165.0,74918.0,3.6
1,2014,KINOPLEX ITAIM,LAST VEGAS,3651,Comédia,2013,12,45.0,2692413.0,5968.0,3.0
1,2014,KINOPLEX ITAIM,MUITA CALMA NESSA HORA 2,810,Comédia,2014,Sem Classificacao,0.0,47999.0,95.0,3.0
1,2014,KINOPLEX ITAIM,NYMPHOMANIAC: VOL. I,4021,Drama,2013,18,0.0,12509728.0,18559.0,2.9
1,2014,KINOPLEX ITAIM,PHILOMENA,203,Drama,2013,10,91.0,514958.0,2753.0,3.7
1,2014,KINOPLEX ITAIM,TARZAN,555,"Animação, Família, Aventura",1999,L,90.0,39820619.0,150253.0,3.8
1,2014,KINOPLEX ITAIM,THE BOOK THIEF,458,Drama,2013,10,50.0,6548523.0,33598.0,3.4
1,2014,KINOPLEX ITAIM,THE HOBBIT: THE DESOLATION OF SMAUG,59,"Fantasia, Aventura, Ação",2013,12,74.0,8489079.0,36740.0,3.0
1,2014,KINOPLEX ITAIM,THE SECRET LIFE OF WALTER MITTY,3285,"Aventura, Comédia, Drama, Fantasia",2013,10,52.0,6996510.0,40993.0,3.3
1,2014,KINOPLEX ITAIM,THE WOLF OF WALL STREET,9670,"Crime, Drama, Comédia",2013,18,79.0,34194302.0,200262.0,3.3
1,2014,KINOPLEX LEBLON,47 RONIN,143,"Drama, Ação, Fantasia",2013,14,16.0,19838658.0,60937.0,3.4
1,2014,KINOPLEX LEBLON,AMERICAN HUSTLE,160,"Drama, Crime",2013,14,92.0,2089434.0,5724.0,3.0
1,2014,KINOPLEX LEBLON,ATÉ QUE A SORTE NOS SEPARE 2,6736,Comédia,2013,12,0.0,59583.0,341.0,2.0
1,2014,KINOPLEX LEBLON,AUGUST: OSAGE COUNTY,1322,"Comédia, Drama",2013,14,67.0,3380372.0,6814.0,3.6
1,2014,KINOPLEX LEBLON,CAPTAIN PHILLIPS,3015,"Ação, Drama, Thriller",2013,14,93.0,4681781.0,23529.0,3.0
1,2014,KINOPLEX LEBLON,CONFISSÕES DE ADOLESCENTE - O FILME,3246,"Comédia, Família",2014,12,0.0,732404.0,4045.0,3.3
1,2014,KINOPLEX LEBLON,DELIVERY MAN,513,Comédia,2013,12,40.0,4464414.0,15506.0,3.6
1,2014,KINOPLEX LEBLON,DEVIL'S DUE,699,Terror,2014,Sem Classificacao,21.0,7073646.0,31338.0,1.8
1,2014,KINOPLEX LEBLON,ENDER'S GAME,151,"Ficção científica, Ação, Aventura",2013,10,63.0,5716340.0,21622.0,3.3
1,2014,KINOPLEX LEBLON,FROZEN,13317,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX LEBLON,GRAVITY,1897,"Ficção científica, Thriller, Drama",2013,12,96.0,22147165.0,74918.0,3.6
1,2014,KINOPLEX LEBLON,"I, FRANKENSTEIN",983,"Terror, Thriller",2014,12,5.0,4036459.0,13712.0,3.3
1,2014,KINOPLEX LEBLON,LAST VEGAS,1229,Comédia,2013,12,45.0,2692413.0,5968.0,3.0
1,2014,KINOPLEX LEBLON,MUITA CALMA NESSA HORA 2,5831,Comédia,2014,Sem Classificacao,0.0,47999.0,95.0,3.0
1,2014,KINOPLEX LEBLON,PARANORMAL ACTIVITY: THE MARKED ONES,1448,"Terror, Thriller",2014,14,40.0,2207360.0,8908.0,2.8
1,2014,KINOPLEX LEBLON,PHILOMENA,110,Drama,2013,10,91.0,514958.0,2753.0,3.7
1,2014,KINOPLEX LEBLON,TARZAN,2207,"Animação, Família, Aventura",1999,L,90.0,39820619.0,150253.0,3.8
1,2014,KINOPLEX LEBLON,THE HOBBIT: THE DESOLATION OF SMAUG,905,"Fantasia, Aventura, Ação",2013,12,74.0,8489079.0,36740.0,3.0
1,2014,KINOPLEX LEBLON,THE WOLF OF WALL STREET,66,"Crime, Drama, Comédia",2013,18,79.0,34194302.0,200262.0,3.3
1,2014,KINOPLEX LEBLON,WALKING WITH DINOSAURS,1848,"Animação, Família, Aventura",2013,L,0.0,1314025.0,43984.0,2.3
1,2014,KINOPLEX MACEIÓ,47 RONIN,182,"Drama, Ação, Fantasia",2013,14,16.0,19838658.0,60937.0,3.4
1,2014,KINOPLEX MACEIÓ,ATÉ QUE A SORTE NOS SEPARE 2,17958,Comédia,2013,12,0.0,59583.0,341.0,2.0
1,2014,KINOPLEX MACEIÓ,AUGUST: OSAGE COUNTY,968,"Comédia, Drama",2013,14,67.0,0.0,0.0,0.0
1,2014,KINOPLEX MACEIÓ,CONFISSÕES DE ADOLESCENTE - O FILME,7975,"Comédia, Família",2014,12,0.0,732404.0,4045.0,3.3
1,2014,KINOPLEX MACEIÓ,DELIVERY MAN,1196,Comédia,2013,12,40.0,4464414.0,15506.0,3.6
1,2014,KINOPLEX MACEIÓ,ENDER'S GAME,432,"Ficção científica, Ação, Aventura",2013,10,63.0,5716340.0,21622.0,3.3
1,2014,KINOPLEX MACEIÓ,FROZEN,15248,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX MACEIÓ,"I, FRANKENSTEIN",2612,"Terror, Thriller",2014,12,5.0,4036459.0,13712.0,3.3
1,2014,KINOPLEX MACEIÓ,MUITA CALMA NESSA HORA 2,3471,Comédia,2014,Sem Classificacao,0.0,48006.0,95.0,0.0
1,2014,KINOPLEX MACEIÓ,PARANORMAL ACTIVITY: THE MARKED ONES,5560,"Terror, Thriller",2014,14,40.0,0.0,0.0,0.0
1,2014,KINOPLEX MACEIÓ,TARZAN,7808,"Animação, Família, Aventura",1999,L,90.0,0.0,0.0,0.0
1,2014,KINOPLEX MACEIÓ,THE BOOK THIEF,252,Drama,2013,10,50.0,0.0,0.0,0.0
1,2014,KINOPLEX MACEIÓ,THE HOBBIT: THE DESOLATION OF SMAUG,2104,"Fantasia, Aventura, Ação",2013,12,74.0,8489079.0,36740.0,3.0
1,2014,KINOPLEX MACEIÓ,THE SECRET LIFE OF WALTER MITTY,1254,"Aventura, Comédia, Drama, Fantasia",2013,10,52.0,6996510.0,40993.0,3.3
1,2014,KINOPLEX MACEIÓ,THE WOLF OF WALL STREET,4834,"Crime, Drama, Comédia",2013,18,79.0,0.0,0.0,0.0
1,2014,KINOPLEX MACEIÓ,WALKING WITH DINOSAURS,3744,"Animação, Família, Aventura",2013,L,0.0,1314229.0,43983.0,0.0
1,2014,KINOPLEX MADUREIRA,47 RONIN,125,"Drama, Ação, Fantasia",2013,14,16.0,19838658.0,60937.0,3.4
1,2014,KINOPLEX MADUREIRA,ATÉ QUE A SORTE NOS SEPARE 2,11602,Comédia,2013,12,0.0,59612.0,341.0,0.0
1,2014,KINOPLEX MADUREIRA,CONFISSÕES DE ADOLESCENTE - O FILME,2367,"Comédia, Família",2014,12,0.0,732414.0,4045.0,0.0
1,2014,KINOPLEX MADUREIRA,DELIVERY MAN,240,Comédia,2013,12,40.0,0.0,0.0,0.0
1,2014,KINOPLEX MADUREIRA,DEVIL'S DUE,1057,Terror,2014,Sem Classificacao,21.0,0.0,0.0,0.0
1,2014,KINOPLEX MADUREIRA,ENDER'S GAME,474,"Ficção científica, Ação, Aventura",2013,10,63.0,0.0,0.0,0.0
1,2014,KINOPLEX MADUREIRA,FROZEN,5687,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX MADUREIRA,GRUDGE MATCH,318,Comédia,2013,12,31.0,0.0,0.0,0.0
1,2014,KINOPLEX MADUREIRA,"I, FRANKENSTEIN",1627,"Terror, Thriller",2014,12,5.0,0.0,0.0,0.0
1,2014,KINOPLEX MADUREIRA,MUITA CALMA NESSA HORA 2,4200,Comédia,2014,Sem Classificacao,0.0,48006.0,95.0,0.0
1,2014,KINOPLEX MADUREIRA,PARANORMAL ACTIVITY: THE MARKED ONES,3076,"Terror, Thriller",2014,14,40.0,2207360.0,8908.0,2.8
1,2014,KINOPLEX MADUREIRA,TARZAN,3123,"Animação, Família, Aventura",1999,L,90.0,0.0,0.0,0.0
1,2014,KINOPLEX MADUREIRA,THE HOBBIT: THE DESOLATION OF SMAUG,1064,"Fantasia, Aventura, Ação",2013,12,74.0,0.0,0.0,0.0
1,2014,KINOPLEX MADUREIRA,THE SECRET LIFE OF WALTER MITTY,334,"Aventura, Comédia, Drama, Fantasia",2013,10,52.0,0.0,0.0,0.0
1,2014,KINOPLEX MADUREIRA,WALKING WITH DINOSAURS,1378,"Animação, Família, Aventura",2013,L,0.0,1314229.0,43983.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,47 RONIN,302,"Drama, Ação, Fantasia",2013,14,16.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,ATÉ QUE A SORTE NOS SEPARE 2,22983,Comédia,2013,12,0.0,59612.0,341.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,CONFISSÕES DE ADOLESCENTE - O FILME,2201,"Comédia, Família",2014,12,0.0,732414.0,4045.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,DEVIL'S DUE,1517,Terror,2014,Sem Classificacao,21.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,ENDER'S GAME,1426,"Ficção científica, Ação, Aventura",2013,10,63.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,FROZEN,14489,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,GRAVITY,353,"Ficção científica, Thriller, Drama",2013,12,96.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,"I, FRANKENSTEIN",1831,"Terror, Thriller",2014,12,5.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,MUITA CALMA NESSA HORA 2,10020,Comédia,2014,Sem Classificacao,0.0,48006.0,95.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,PARANORMAL ACTIVITY: THE MARKED ONES,5838,"Terror, Thriller",2014,14,40.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,TARZAN,5589,"Animação, Família, Aventura",1999,L,90.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,THE BOOK THIEF,387,Drama,2013,10,50.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,THE HOBBIT: THE DESOLATION OF SMAUG,3287,"Fantasia, Aventura, Ação",2013,12,74.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,THE SECRET LIFE OF WALTER MITTY,938,"Aventura, Comédia, Drama, Fantasia",2013,10,52.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,THE WOLF OF WALL STREET,2639,"Crime, Drama, Comédia",2013,18,79.0,0.0,0.0,0.0
1,2014,KINOPLEX NOVA AMÉRICA,WALKING WITH DINOSAURS,2903,"Animação, Família, Aventura",2013,L,0.0,1314229.0,43983.0,0.0
1,2014,KINOPLEX OSASCO,47 RONIN,145,"Drama, Ação, Fantasia",2013,14,16.0,0.0,0.0,0.0
1,2014,KINOPLEX OSASCO,ATÉ QUE A SORTE NOS SEPARE 2,7040,Comédia,2013,12,0.0,59612.0,341.0,0.0
1,2014,KINOPLEX OSASCO,CONFISSÕES DE ADOLESCENTE - O FILME,2146,"Comédia, Família",2014,12,0.0,732414.0,4045.0,0.0
1,2014,KINOPLEX OSASCO,DELIVERY MAN,732,Comédia,2013,12,40.0,4464414.0,15506.0,3.6
1,2014,KINOPLEX OSASCO,DEVIL'S DUE,1864,Terror,2014,Sem Classificacao,21.0,0.0,0.0,0.0
1,2014,KINOPLEX OSASCO,ENDER'S GAME,801,"Ficção científica, Ação, Aventura",2013,10,63.0,0.0,0.0,0.0
1,2014,KINOPLEX OSASCO,FROZEN,9532,"Animação, Família, Aventura, Fantasia",2013,L,89.0,0.0,0.0,0.0
1,2014,KINOPLEX OSASCO,GRUDGE MATCH,904,Comédia,2013,12,31.0,0.0,0.0,0.0
1,2014,KINOPLEX OSASCO,"I, FRANKENSTEIN",2281,"Terror, Thriller",2014,12,5.0,0.0,0.0,0.0
1,2014,KINOPLEX OSASCO,MUITA CALMA NESSA HORA 2,1970,Comédia,2014,Sem Classificacao,0.0,48006.0,95.0,0.0
1,2014,KINOPLEX OSASCO,PARANORMAL ACTIVITY: THE MARKED ONES,3849,"Terror, Thriller",2014,14,40.0,0.0,0.0,0.0
1,2014,KINOPLEX OSASCO,TARZAN,2256,"Animação, Família, Aventura",1999,L,90.0,0.0,0.0,0.0
1,2014,KINOPLEX OSASCO,THE BOOK THIEF,300,Drama,2013,10,50.0,0.0,0.0,0.0
