MES_EXIBICAO;ANO_EXIBICAO;NOME_CINEMA;TITULO_ORIGINAL;PUBLICO
1;2014;KINOPLEX OSASCO;CRÔ - O FILME;304
1;2014;KINOPLEX OSASCO;DELIVERY MAN;732
1;2014;KINOPLEX OSASCO;DEVIL'S DUE;1864
1;2014;KINOPLEX OSASCO;ENDER'S GAME;801
1;2014;KINOPLEX OSASCO;FROZEN;9532
1;2014;KINOPLEX OSASCO;GRUDGE MATCH;904
1;2014;KINOPLEX OSASCO;I, FRANKENSTEIN;2281
1;2014;KINOPLEX OSASCO;MINHOCAS;346
1;2014;KINOPLEX OSASCO;MUITA CALMA NESSA HORA 2;1970
1;2014;KINOPLEX OSASCO;PARANORMAL ACTIVITY: THE MARKED ONES;3849
1;2014;KINOPLEX OSASCO;TARZAN;2256
1;2014;KINOPLEX OSASCO;THE BOOK THIEF;300
1;2014;KINOPLEX OSASCO;THE HOBBIT: THE DESOLATION OF SMAUG;2776
1;2014;KINOPLEX OSASCO;THE SECRET LIFE OF WALTER MITTY;1104
1;2014;KINOPLEX OSASCO;THE WOLF OF WALL STREET;446
1;2014;KINOPLEX OSASCO;WALKING WITH DINOSAURS;3608
1;2014;KINOPLEX PARKSHOPPING;47 RONIN;259
1;2014;KINOPLEX PARKSHOPPING;ABOUT TIME;1516
1;2014;KINOPLEX PARKSHOPPING;AMERICAN HUSTLE;220
1;2014;KINOPLEX PARKSHOPPING;ATÉ QUE A SORTE NOS SEPARE 2;15151
1;2014;KINOPLEX PARKSHOPPING;AUGUST: OSAGE COUNTY;1110
1;2014;KINOPLEX PARKSHOPPING;CARRIE;133
1;2014;KINOPLEX PARKSHOPPING;CONFISSÕES DE ADOLESCENTE - O FILME;5028
1;2014;KINOPLEX PARKSHOPPING;CRÔ - O FILME;1253
1;2014;KINOPLEX PARKSHOPPING;DELIVERY MAN;2849
1;2014;KINOPLEX PARKSHOPPING;DEVIL'S DUE;1944
1;2014;KINOPLEX PARKSHOPPING;ENDER'S GAME;2459
1;2014;KINOPLEX PARKSHOPPING;FROZEN;22842
1;2014;KINOPLEX PARKSHOPPING;GRAVITY;405
1;2014;KINOPLEX PARKSHOPPING;GRUDGE MATCH;1459
1;2014;KINOPLEX PARKSHOPPING;HUNGER GAMES: THE CATCHING FIRE;531
1;2014;KINOPLEX PARKSHOPPING;I, FRANKENSTEIN;3399
1;2014;KINOPLEX PARKSHOPPING;JACKASS PRESENTS: BAD GRANDPA .5;2109
1;2014;KINOPLEX PARKSHOPPING;MINHOCAS;1264
1;2014;KINOPLEX PARKSHOPPING;MUITA CALMA NESSA HORA 2;5021
1;2014;KINOPLEX PARKSHOPPING;NYMPHOMANIAC: VOL. I;628
1;2014;KINOPLEX PARKSHOPPING;PARANORMAL ACTIVITY: THE MARKED ONES;6248
1;2014;KINOPLEX PARKSHOPPING;TARZAN;4366
1;2014;KINOPLEX PARKSHOPPING;THE BOOK THIEF;186
1;2014;KINOPLEX PARKSHOPPING;THE HOBBIT: THE DESOLATION OF SMAUG;4468
1;2014;KINOPLEX PARKSHOPPING;THE SECRET LIFE OF WALTER MITTY;1168
1;2014;KINOPLEX PARKSHOPPING;THE WOLF OF WALL STREET;5610
1;2014;KINOPLEX PARKSHOPPING;WALKING WITH DINOSAURS;4084
1;2014;KINOPLEX RIO SUL;47 RONIN;116
1;2014;KINOPLEX RIO SUL;ATÉ QUE A SORTE NOS SEPARE 2;6395
1;2014;KINOPLEX RIO SUL;AUGUST: OSAGE COUNTY;1271
1;2014;KINOPLEX RIO SUL;CONFISSÕES DE ADOLESCENTE - O FILME;3260
1;2014;KINOPLEX RIO SUL;DELIVERY MAN;522
1;2014;KINOPLEX RIO SUL;DEVIL'S DUE;825
1;2014;KINOPLEX RIO SUL;ENDER'S GAME;104
1;2014;KINOPLEX RIO SUL;FROZEN;7811
1;2014;KINOPLEX RIO SUL;I, FRANKENSTEIN;616
1;2014;KINOPLEX RIO SUL;MUITA CALMA NESSA HORA 2;4331
1;2014;KINOPLEX RIO SUL;PARANORMAL ACTIVITY: THE MARKED ONES;2407
1;2014;KINOPLEX RIO SUL;TARZAN;2438
1;2014;KINOPLEX RIO SUL;THE BOOK THIEF;236
1;2014;KINOPLEX RIO SUL;THE HOBBIT: THE DESOLATION OF SMAUG;531
1;2014;KINOPLEX RIO SUL;THE SECRET LIFE OF WALTER MITTY;2069
1;2014;KINOPLEX RIO SUL;THE WOLF OF WALL STREET;1721
1;2014;KINOPLEX RIO SUL;WALKING WITH DINOSAURS;2234
1;2014;KINOPLEX TIJUCA;47 RONIN;450
1;2014;KINOPLEX TIJUCA;AMERICAN HUSTLE;293
1;2014;KINOPLEX TIJUCA;ATÉ QUE A SORTE NOS SEPARE 2;21726
1;2014;KINOPLEX TIJUCA;AUGUST: OSAGE COUNTY;2981
1;2014;KINOPLEX TIJUCA;CARRIE;0
1;2014;KINOPLEX TIJUCA;CONFISSÕES DE ADOLESCENTE - O FILME;7123
1;2014;KINOPLEX TIJUCA;DEVIL'S DUE;2113
1;2014;KINOPLEX TIJUCA;ENDER'S GAME;996
1;2014;KINOPLEX TIJUCA;FROZEN;17578
1;2014;KINOPLEX TIJUCA;GRAVITY;762
1;2014;KINOPLEX TIJUCA;GRUDGE MATCH;1714
1;2014;KINOPLEX TIJUCA;I, FRANKENSTEIN;2515
1;2014;KINOPLEX TIJUCA;LA VIE D'ADÈLE - CHAPITRES 1 ET 2 AKA LE BLEU EST UNE COULEUR CHAUDE E LA VIE D'ADÈLE;25
1;2014;KINOPLEX TIJUCA;LAST VEGAS;224
1;2014;KINOPLEX TIJUCA;MINHOCAS;308
1;2014;KINOPLEX TIJUCA;MUITA CALMA NESSA HORA 2;12744
1;2014;KINOPLEX TIJUCA;NYMPHOMANIAC: VOL. I;282
1;2014;KINOPLEX TIJUCA;PARANORMAL ACTIVITY: THE MARKED ONES;6484
1;2014;KINOPLEX TIJUCA;PHILOMENA;20
1;2014;KINOPLEX TIJUCA;TARZAN;4594
1;2014;KINOPLEX TIJUCA;THE BOOK THIEF;789
1;2014;KINOPLEX TIJUCA;THE HOBBIT: THE DESOLATION OF SMAUG;2596
1;2014;KINOPLEX TIJUCA;THE SECRET LIFE OF WALTER MITTY;2105
1;2014;KINOPLEX TIJUCA;THE WOLF OF WALL STREET;7234
1;2014;KINOPLEX TIJUCA;WALKING WITH DINOSAURS;2362
1;2014;KINOPLEX TOP SHOPPING;ATÉ QUE A SORTE NOS SEPARE 2;24023
1;2014;KINOPLEX TOP SHOPPING;CONFISSÕES DE ADOLESCENTE - O FILME;2077
1;2014;KINOPLEX TOP SHOPPING;DEVIL'S DUE;97
1;2014;KINOPLEX TOP SHOPPING;ENDER'S GAME;120
1;2014;KINOPLEX TOP SHOPPING;FROZEN;11503
1;2014;KINOPLEX TOP SHOPPING;MINHOCAS;24
1;2014;KINOPLEX TOP SHOPPING;MUITA CALMA NESSA HORA 2;6596
1;2014;KINOPLEX TOP SHOPPING;PARANORMAL ACTIVITY: THE MARKED ONES;6748
1;2014;KINOPLEX TOP SHOPPING;TARZAN;1729
1;2014;KINOPLEX TOP SHOPPING;THE HOBBIT: THE DESOLATION OF SMAUG;418
1;2014;KINOPLEX TOP SHOPPING;THE SECRET LIFE OF WALTER MITTY;37
1;2014;KINOPLEX TOP SHOPPING;WALKING WITH DINOSAURS;1109
1;2014;KINOPLEX VILA OLIMPIA;ATÉ QUE A SORTE NOS SEPARE 2;2602
1;2014;KINOPLEX VILA OLIMPIA;ENDER'S GAME;29
1;2014;KINOPLEX VILA OLIMPIA;I, FRANKENSTEIN;765
1;2014;KINOPLEX VILA OLIMPIA;LAST VEGAS;1941
1;2014;KINOPLEX VILA OLIMPIA;NYMPHOMANIAC: VOL. I;100
1;2014;KINOPLEX VILA OLIMPIA;PHILOMENA;25
1;2014;KINOPLEX VILA OLIMPIA;THE WOLF OF WALL STREET;5367
1;2014;KINOPLEX VILA OLÍMPIA;47 RONIN;161
1;2014;KINOPLEX VILA OLÍMPIA;ABOUT TIME;486
1;2014;KINOPLEX VILA OLÍMPIA;AMERICAN HUSTLE;94
1;2014;KINOPLEX VILA OLÍMPIA;AUGUST: OSAGE COUNTY;1093
1;2014;KINOPLEX VILA OLÍMPIA;BLUE JASMINE;727
1;2014;KINOPLEX VILA OLÍMPIA;CONFISSÕES DE ADOLESCENTE - O FILME;953
1;2014;KINOPLEX VILA OLÍMPIA;DELIVERY MAN;931
1;2014;KINOPLEX VILA OLÍMPIA;FROZEN;7499
1;2014;KINOPLEX VILA OLÍMPIA;GRAVITY;572
1;2014;KINOPLEX VILA OLÍMPIA;GRUDGE MATCH;1561
1;2014;KINOPLEX VILA OLÍMPIA;LA GRANDE BELLEZZA;1733
1;2014;KINOPLEX VILA OLÍMPIA;MUITA CALMA NESSA HORA 2;1383
1;2014;KINOPLEX VILA OLÍMPIA;PARANORMAL ACTIVITY: THE MARKED ONES;43
1;2014;KINOPLEX VILA OLÍMPIA;TARZAN;1380
1;2014;KINOPLEX VILA OLÍMPIA;THE BOOK THIEF;293
1;2014;KINOPLEX VILA OLÍMPIA;THE BROKEN CIRCLE BREAKDOWN;231
1;2014;KINOPLEX VILA OLÍMPIA;THE HOBBIT: THE DESOLATION OF SMAUG;852
1;2014;KINOPLEX VILA OLÍMPIA;THE SECRET LIFE OF WALTER MITTY;3168
1;2014;KINOPLEX VILA OLÍMPIA;WALKING WITH DINOSAURS;657
1;2014;KINOPLEX WEST SHOPPING;47 RONIN;133
1;2014;KINOPLEX WEST SHOPPING;ATÉ QUE A SORTE NOS SEPARE 2;14809
1;2014;KINOPLEX WEST SHOPPING;CARRIE;74
1;2014;KINOPLEX WEST SHOPPING;CONFISSÕES DE ADOLESCENTE - O FILME;3473
1;2014;KINOPLEX WEST SHOPPING;CRÔ - O FILME;21
1;2014;KINOPLEX WEST SHOPPING;DEVIL'S DUE;1313
1;2014;KINOPLEX WEST SHOPPING;ENDER'S GAME;642
1;2014;KINOPLEX WEST SHOPPING;FROZEN;7613
1;2014;KINOPLEX WEST SHOPPING;I, FRANKENSTEIN;1437
1;2014;KINOPLEX WEST SHOPPING;MINHOCAS;35
1;2014;KINOPLEX WEST SHOPPING;PARANORMAL ACTIVITY: THE MARKED ONES;4878
1;2014;KINOPLEX WEST SHOPPING;TARZAN;3964
1;2014;KINOPLEX WEST SHOPPING;THE HOBBIT: THE DESOLATION OF SMAUG;1140
1;2014;KINOPLEX WEST SHOPPING;THE SECRET LIFE OF WALTER MITTY;306
